NCTId,BriefTitle,BriefSummary,DetailedDescription,OverallStatus,Gender,MinimumAge,MaximumAge,Keyword,PrimaryOutcomeTimeFrame,DesignAllocation,DesignInterventionModel,DesignPrimaryPurpose,Condition,InterventionName
NCT00499655,Erlotinib Hydrochloride With or Without Celecoxib in Treating Patients With Stage IIIB IV Non Small Cell Lung Cancer,RATIONALE: Erlotinib hydrochloride and celecoxib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Celecoxib may also stop the growth of lung cancer by blocking blood flow to the tumor. Giving erlotinib hydrochloride together with celecoxib may kill more tumor cells. PURPOSE: This randomized phase II trial is studying how well giving erlotinib hydrochloride together with celecoxib works compared with erlotinib hydrochloride alone in treating patients with stage IIIB IV non small cell lung cancer.,"PRIMARY OBJECTIVES: I. Comparison of progression free survival (PFS) in patients receiving erlotinib + celecoxib vs. erlotinib + placebo for advanced NSCLC. SECONDARY OBJECTIVES: I. Objective tumor response rate as defined by RECIST Criteria for subjects receiving erlotinib,celecoxib treatment arms. II. Categorize the change in e cadherin expression from baseline to week 8 in a subset of subjects. III. Evaluation of overall survival (OS). IV. Measurement of COX 2, EGFR by immunohistochemistry and EGFR amplification by FISH, and EGFR mutation status to correlate with clinical response. V. Measurement of change in urinary PGE M and correlation with response. OUTLINE: Patients are randomized to 1 of 2 treatment arms. ARM I: Patients receive oral erlotinib hydrochloride once daily and oral placebo twice daily on days 1 28. ARM II: Patients receive oral erlotinib hydrochloride once daily and oral celecoxib twice daily on days 1 28. In both arms, treatment repeats every 28 days for 12 courses in the absence of disease progression or unacceptable toxicity. After completion of study treatment, patients are followed periodically.",Completed,All,18 Years,,,"Until disease progression, up to 5 years.",Randomized,Parallel Assignment,Treatment,"Recurrent Non small Cell Lung Cancer, Stage IIIB Non small Cell Lung Cancer, Stage IV Non small Cell Lung Cancer","erlotinib hydrochloride, celecoxib, placebo, laboratory biomarker analysis, immunohistochemistry staining method, fluorescence in situ hybridization, mutation analysis, protein expression analysis, gene expression analysis"
NCT00983307,A Study of Erlotinib Plus Radiotherapy (RT) for Patients With Advanced or Inoperable Non Small Cell Lung Cancer,"It is generally accepted that the presence of chronically hypoxic cells, or tumor cells which do not receive enough oxygen as a result of tumor growth, may be an important cause of resistance to radiation therapy (RT) and resultant tumor recurrence, particularly in large tumors such as advanced non small cell lung cancer (NSCLC). Therefore, delivering a higher RT dose, as is done with hypofractionated RT, to the tumor may result in higher success rate. Erlotinib (Tarceva, previously known as OSI 774) is an orally active, potent, selective inhibitor of the Epidermal Growth Factor Receptor (EGFR) tyrosine kinase. A recently completed trial has shown that Erlotinib as a single agent significantly improves the survival of patients with incurable Stage IIIb,IV NSCLC who have failed standard therapy for advanced or metastatic disease. Therefore, Erlotinib is an approved medication for second line therapy in lung cancer following prior chemotherapy. This is a Phase II clinical research study to assess the efficacy and toxicity of hypofractionated radiation therapy in combination with Erlotinib in patients with locally advanced or inoperable non small cell lung cancer (NSCLC). The investigators hypothesis is that the addition of erlotinib to RT will result in radiosensitization, therefore increasing the likelihood of local tumor control over RT alone. Maintenance erlotinib upon RT completion will result in further tumor growth inhibition, both systemically and locally, lengthening disease free survival and overall survival.","Hypothesis,Rationale: Lung cancer is the number one cause of cancer related mortality in both men and women in the United States, with over 170,000 cases diagnosed annually. The overall 5 year survival rate remains 14% despite decades of clinical research. Thoracic RT is the standard treatment for locally advanced (Stage III) NSCLC, in combination with chemotherapy in favorable patients. Metastatic lung cancer (Stage IV) is treated with systemic chemotherapy, with the addition of RT for palliation of tumor symptoms. Most lung cancers present as large tumors, measuring 2 to 7 cm in largest dimension. It is therefore not difficult to understand that only 16% of patients experience a complete resolution of their irradiated tumors within 3 months following a course of standard fractionated (2.0 Gy daily) RT and chemotherapy. From basic principles advocated by Fletcher, it is thought that standard fractionated RT doses up to 100.0 Gy may be necessary to sterilize tumors of the size frequently encountered in clinical practice. Tumor control probability for bronchogenic carcinoma can be estimated to be 10% for tumors of greater than 4 cm at a dose of 80.0 Gy, with an assumption, that an average size lung cancer may require doses beyond 100.0 Gy standard fractionated to have a 50% to 80% probability of controlling the tumor. This has been demonstrated in the stereotactic radioablation approach to patients with the medically inoperable Stage I NSCLC, in whom 20 Gy per fraction to a total of 60 Gy (a BED equivalent of >100 Gy) resulted in an excellent local control of >90% (Timmerman R et al, 2006; Onishi H et al, 2007). Hypofractionated RT: It is generally accepted that the presence of chronically hypoxic cells within tumors may be an important cause of radioresistance and resultant local failure in radiotherapy, particularly in large solid tumors such as locoregionally advanced NSCLC. In vitro experiments indicated that the dose needed to kill severely hypoxic cells is on the order of 2 or 3 times the dose needed for oxic cells. Therefore, delivering a higher RT dose to the tumor may result in higher tumor cell kill and improved local control. One of the approaches to increase RT dose is to use hypofractionated RT, which not only increases the dose, but also reduces the overall treatment time. The radiobiological rationale for hypofractionated RT was described by Mehta et al (Mehta et al, 2001). Based on these theoretical assumptions, University of Wisconsin has recently completed a dose escalation study of progressively increasing fraction sizes in thoracic RT for lung cancer. Such larger RT fraction sizes may require tighter radiation fields (to achieve reliable normal tissue sparing) and improved precision of RT delivery, something that is afforded by the SBF (Stereotactic Body Frame) immobilization and daily CT scan based image verification of tumor position. More experiences have been reported in the literature on hypofractionated regimens for lung cancer. Japanese investigators (Nagata Y et al, 2002) treated 40 patients with T1 T3N0 tumors or lung metastases with 10 12 Gy per fraction to a total of 40 48 Gy. No pulmonary (or other) complications >Grade 2 were observed and the local control was 100% in the subgroup of primary lung tumors. Another group from Japan (Onimaru R et al, 2003) reported on 45 patients with primary lung tumors up to 6cm receiving 7.5 Gy per fraction to 60 Gy (lesions <3cm) or 6 Gy per fractions to 48 Gy (lesions 3 6cm). One patient with a central tumor died of a radiation induced ulcer in the esophagus. One patient with a peripheral lesion experienced Grade 2 chest wall pain. The 3 year local control rate was 80%. No adverse respiratory events were noted. The ultimate hypofractionated RT regimen of 60 Gy given in 3 fractions of 20 Gy each has been demonstrated to be feasible and highly effective in patients with medically inoperable Stage I NSCLC tumors measuring up to 7 cm and located outside the central airways (Timmerman et al, 2006). However, the same regimen was associated with a high incidence of severe toxicity if applied to central airway. Since most tumors in patients with Stage III and IV NSCLC are located centrally, a novel hypofractionated regimen needs to be developed specifically for them. In our institution we have completed a Phase I,II investigator initiated trial of dose escalated hypofractionated RT given concurrently with Gefitinib (Iressa) with Gefitinib continued after RT completion until progression or toxicity. Three RT dose levels are applied: 4.2 Gy in 10 fractions to 42 Gy; 4.2 Gy in 12 fractions 50.4 Gy and 4.2 Gy in 15 fractions to 63 Gy. Eligible pts are those with either Stage III or IV NSCLC who needed thoracic RT and could not receive chemotherapy. No selection by the EGFR receptor status has been applied. A total of 12 patients have been enrolled. Main toxicities were pulmonary (1 grade 2 pneumonitis; 1 grade 3 infectious pneumonia; 1 grade 4 pneumonitis). There was 1 grade 3 abdominal pain. One patient (with thoracic tumor controlled) died due to the late radiation esophageal toxicity (tracheo esophageal fistula in a setting of pre existing esophageal diverticula) at 12 months from RT. Only one patient experienced local progression of the irradiated tumor, which is very encouraging and may support the hypothesis of the radiosensitizing effect of the EGFR inhibitors. As of now, median survival time for all 12 enrolled patients is 9 months (range: 1 26 mo) from the time of initiating Gefitinib, which is an encouraging result in mostly pretreated patients, many with metastatic disease (Werner Wasik et al, oral presentation, First ESMO,IASLC European Meeting on Lung Cancer, Geneva, Switzerland, April 2008). Since Gefitinib is not available now for wider use, we are proposing a study of erlotinib with hypofractionated RT in a Phase II setting with the main objective of assessing efficacy of such a combination. There is no direct evidence that patients receiving concurrent EGFR inhibitors and RT need to be pre selected with regard to the EGFR status. In a recent study (Bentzen SM et al, 2005), positive immunohistochemical staining for EGFR status was associated with a benefit in locoregional control in patients with head and neck cancer receiving CHART (continuous hyperfractionated accelerated radiotherapy), but the EGFR status had no effect on survival or rate of distant metastases. Therefore, we propose to investigate the EGFR status in all eligible patients, but to treat them without selection for the EGFR status. Tarceva (previously known as OSI 774) is an orally active, potent, selective inhibitor of the EGFR tyrosine kinase. Early clinical data with Tarceva indicate that the compound is generally safe and well tolerated at doses that provide the targeted effective concentration based on nonclinical experiments. A recently completed, randomized, double blind, placebo controlled trial (BR.21) has shown that Tarceva as a single agent significantly improves the survival of patients with incurable Stage IIIb,IV NSCLC who have failed standard therapy for advanced or metastatic disease (Shepherd F et al, 2000 and 2005). In a Phase II clinical trial (Jackman D et al, 2007) of 80 chemotherapy naive patients >70 years of age with advanced non small cell lung cancer who received erlotinib as first line therapy, an encouraging median survival time (MST) of 10.9 months was reported, with the presence of EGFR mutations strongly correlated with disease control and survival. In summary, a combination of erlotinib with hypofractionated thoracic RT has the potential to significantly improve local tumor control in patients with non small cell lung cancer, based on theoretical considerations of EGFR inhibition, increased tumor cell killing with larger RT fractions and preclinical evidence for synergism between RT and erlotinib. Our hypothesis is that the addition of erlotinib to RT will result in radiosensitization, therefore increasing the likelihood of local tumor control over RT alone. Maintenance erlotinib upon RT completion will result in further tumor growth inhibition, both systemically and locally, lengthening disease free survival and overall survival. All eligible patients will be enrolled, without regard for the EGFR status. The implications of prospectively screening patients for EGFR mutations or gene copy number and how the patients should be selected for subsequent treatment remain to be defined (Janne P et al, 2005; Shepherd f et al, 2005). Therefore, patients will not be excluded from trial participation based on the EGFR testing. The EGFR status will be assessed by the FISH assay in biopsy or resection tissue samples and the test will be performed by a commercial laboratory.",Completed,All,18 Years,,"Radiation, Erlotinib, Tarceva",2 years,,Single Group Assignment,Treatment,"Carcinoma, Non small cell Lung","Erlotinib, Hypofractionated Radiotherapy"
NCT02507375,A Study of Pertuzumab With Erlotinib in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer (NSCLC),"This study will assess the safety and tolerability, and make a preliminary assessment of activity, of a combination of pertuzumab and erlotinib in patients with locally advanced or metastatic non small cell lung cancer (NSCLC) who have failed on at least one prior chemotherapy regimen. The anticipated time on study treatment is until disease progression or unacceptable toxicity, and the target sample size is less than 100 individuals.",,Completed,All,18 Years,,Non Squamous,From baseline to end of the study (up to 42 weeks),Non Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,"Erlotinib, Pertuzumab"
NCT00994123,A Study of MM 121 Combination Therapy in Patients With Advanced Non Small Cell Lung Cancer,A Phase 1 2 study of MM 121 in combination with standard therapy for non small cell lung cancer (NSCLC).,"Phase 1: Patients with Non Small Cell Lung Cancer (NSCLC) may be enrolled to evaluate the safety, tolerability and recommended Phase 2 dose of MM 121 in combination with standard therapy. Phase 2: Patients with Non Small Cell Lung Cancer (NSCLC) may be enrolled to estimate the progression free survival of the MM 121 + standard therapy.",Completed,All,18 Years,,"Non Small Cell Lung Cancer, NSCLC, Advanced Non Small Cell Lung Cancer, Metastatic Non Small Cell Lung Cancer, Lung Cancer, Erlotinib, Tarceva, MM 121, ErbB3, Her3, Epidermal Growth Factor Receptor, anti ErbB3 human monoclonal antibody, ErbB3 antagonist","From date of first dose to 30 days after termination, the longest 175 weeks, From date of first dose to 30 days after termination, the longest 175 weeks, Time from first dose to date of progression, with a median of 8.1 weeks",Randomized,Parallel Assignment,Treatment,"Carcinoma, Non Small Cell Lung","MM 121, Erlotinib"
NCT01310036,A Study of Tarceva (Erlotinib) as First Line Therapy in Participants With Non Small Cell Lung Cancer Harbouring Epidermal Growth Factor Receptor (EGFR) Mutations,"This open label, single arm study will evaluate the safety and efficacy of Tarceva (erlotinib) as first line therapy in participants with stage IV or recurrent non small cell lung cancer who harbour epidermal growth factor receptor (EGFR) mutations. All participants will receive Tarceva 150 mg daily orally until disease progression or unacceptable toxicity occurs. At the investigators discretion, participants may receive Tarceva beyond disease progression.",,Completed,All,18 Years,,,Approximately 68 months,,Single Group Assignment,Treatment,Non Squamous Non Small Cell Lung Cancer,Erlotinib
NCT01294306,MK2206 and Erlotinib Hydrochloride in Treating Patients With Advanced Non Small Cell Lung Cancer Who Have Progressed After Previous Response to Erlotinib Hydrochloride Therapy,This phase II trial studies the side effects and how well Akt inhibitor MK2206 (MK2206) and erlotinib hydrochloride works in treating patients with advanced non small cell lung cancer who have progressed after previous response to erlotinib hydrochloride therapy. MK2206 and erlotinib hydrochloride may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,"PRIMARY OBJECTIVES: I. To evaluate the efficacy (with the primary endpoint of disease control at 12 weeks) and tolerability of the combination of MK2206 plus erlotinib (erlotinib hydrochloride) in previously erlotinib treated patients with recurrent or progressive advanced non small cell lung cancer (NSCLC) whose tumors are either epidermal growth factor receptor (EGFR) mutated or EGFR wild type. SECONDARY OBJECTIVES: I. To determine progression free survival of previously erlotinib treated patients with NSCLC who are treated with MK2206 plus erlotinib. II. To determine the overall survival of previously erlotinib treated patients with NSCLC who are treated with MK2206 plus erlotinib. III. To assess the toxicity experienced by previously erlotinib treated patients with NSCLC treated with MK2206 plus erlotinib. IV. To perform correlative analysis of tumor biomarkers to assess, in a preliminary manner, the association between tumor mutations and,or abnormalities and clinical outcome of previously erlotinib treated patients with NSCLC treated with MK2206 plus erlotinib. OUTLINE: Patients receive Akt inhibitor MK2206 orally (PO) every other day (QOD) of a 28 day course, and erlotinib hydrochloride PO once daily (QD) on days 1 28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. After completion of study therapy, patients are followed up every 12 weeks for one year and then annually thereafter.",Completed,All,18 Years,,,"At 12 weeks, Up to 2 years",,Single Group Assignment,Treatment,"Adenosquamous Lung Carcinoma, Bronchioloalveolar Carcinoma, Large Cell Lung Carcinoma, Lung Adenocarcinoma, Recurrent Non Small Cell Lung Carcinoma, Squamous Cell Lung Carcinoma","Akt Inhibitor MK2206, Erlotinib Hydrochloride, Laboratory Biomarker Analysis, Pharmacological Study"
NCT00087412,S0341: Erlotinib in Treating Patients With Advanced Primary Non Small Cell Lung Cancer,This phase II trial is studying how well erlotinib works in treating patients with advanced primary non small cell lung cancer. Erlotinib may stop the growth of tumor cells by blocking the enzymes necessary for their growth,"PRIMARY OBJECTIVES: I. To assess survival in patients with advanced non small cell lung carcinoma with a Zubrod Performance Status of 2 treated with OSI 774. II. To evaluate the objective tumor response rates (confirmed plus unconfirmed, complete and partial), in patients with advanced non small cell lung carcinoma with a Zubrod Performance Status of 2 treated with OSI 774. III. To investigate in a preliminary manner possible correlations of EGFR expression, mutations, and,or EGFR polymorphisms with response and,or survival. IV. To investigate in a preliminary manner possible correlations of activated signal pathway molecules, including basal p27 expression levels with response and,or survival. OUTLINE: This is a multicenter study. Patients receive oral erlotinib once daily on days 1 21. Courses repeat every 21 days in the absence of disease progression or unacceptable toxicity. Patients are followed every 3 months for 1 year and then every 6 months for 2 years.",Completed,All,18 Years,,,Up to 3 years,,Single Group Assignment,Treatment,"Adenocarcinoma of the Lung, Large Cell Lung Cancer, Recurrent Non small Cell Lung Cancer, Squamous Cell Lung Cancer, Stage IIIB Non small Cell Lung Cancer, Stage IV Non small Cell Lung Cancer","erlotinib hydrochloride, laboratory biomarker analysis"
NCT01859026,"A Phase I,IB Trial of MEK162 in Combination With Erlotinib in NSCLC Harboring KRAS or EGFR Mutation",The main purpose of this study is to find out if the drugs MEK162 and erlotinib (Tarceva) given in combination are safe and have beneficial effects in patients who have NSCLC. The U.S. Food and Drug Administration (FDA) has not approved MEK162 for use to treat NSCLC. Erlotinib is an FDA approved drug for the treatment of Non Small Cell Lung Cancer.,,Completed,All,18 Years,,"Epidermal growth factor receptor (EGFR), EGFR mutation, Kirsten rat sarcoma 2 viral oncogene homolog(KRAS), KRAS mutation, Non Small Cell Lung Cancer (NSCLC), Advanced stage IV",6 months,Non Randomized,Single Group Assignment,Treatment,"Lung Cancer, Non Small Cell Lung Cancer","MEK162, Erlotinib"
NCT01153984,A Study to Assess Biomarkers Impact on Participants Response to Erlotinib Treatment for First line Non Small Cell Lung Cancer With Endothelial Growth Factor Receptor (EGFR) Activating Mutations,"This open label, single arm, multi center study will evaluate the progression free survival in participants with histologically documented, advanced and,or metastatic chemotherapy naive, non small cell lung cancer (NSCLC) with Epidermal Growth Factor Receptor (EGFR) positive mutations and receiving erlotinib treatment. The anticipated time on study treatment is until disease progression, unacceptable toxicity, withdrawal due to any reason or death.",,Completed,All,18 Years,,,Baseline up to approximately 4 years,,Single Group Assignment,Treatment,Carcinoma，Non Small Cell Lung,Erlotinib
NCT00567359,"Erlotinib in Patients With Resected, Early Stage NSCLC With Confirmed Mutations in the EGFR","In this research study erlotinib will be given to eligible participants whose lung cancer has been removed by surgery. Eligible patients have adenocarcinoma, a type of non small lung cancer, and must have 1 or more of the following characteristics: be female, be of Asian or Pacific Rim descent and,or be a never smoker. The potential participants tumor will be examined for Epidermal growth factor (EGFR) mutations. EGFR is a protein that is overexpressed in most non small cell lung cancers. Some EGFR has been found to have specific mutations and the participant must have one of these mutations in his tumor. Erlotinib blocks this protein and may control tumor growth and increase survival. Previous research has shown that erlotinib is most effective for people who have these specific mutations in the EGFR.","Erlotinib is a pill taken daily and participants may continue to receive erlotinib for up to two years, as long as the cancer does not return and they do not experience any unacceptable side effects.. While participants are receiving erlotinib, they will be asked to return to the clinic for study visits to monitor the status of their disease and their general health. For the first 5 months of erlotinib, they will return to the clinic monthly. After that they will return to the clinic every three months.",Completed,All,18 Years,,"NSCLC, erlotinib, epidermal growth factor receptor, EGFR",2 years,,Single Group Assignment,Treatment,Non small Cell Lung Cancer,Erlotinib
NCT00456833,Combination of RAD001 and Erlotinib in Patients With Advanced Non Small Cell Lung Cancer Previously Treated Only With Chemotherapy,This study aims to assess the value of combined treatment with RAD001 and erlotinib in patients with advanced Non Small Cell Lung Cancer treated only with chemotherapy as systemic therapy.,,Completed,All,18 Years,80 Years,"Non Small Cell Lung Cancer, NSCLC, Advanced lung cancer, RAD, RAD001, erlotinib","first 28 days of combined treatment, at baseline and after 8 weeks of treatment",Non Randomized,Single Group Assignment,Treatment,Non Small Cell Lung Cancer,"RAD001, erlotinib"
NCT01123460,Biomarkers Predicting Response in Patients With Non Small Cell Lung Cancer Previously Treated With Erlotinib Hydrochloride,RATIONALE: Studying samples of blood in the laboratory from patients receiving erlotinib hydrochloride may help doctors learn more about the effects of erlotinib hydrochloride on cells. It may also help doctors understand how well patients respond to treatment. PURPOSE: This research study is studying biomarkers predicting response in patients with non small cell lung cancer previously treated with erlotinib hydrochloride.,"OBJECTIVES: To evaluate whether serum NGAL, MMP 9, NGAL,MMP 9 complex, and soluble E cadherin can be utilized as biomarkers to predict response in patients with non small cell lung cancer treated with erlotinib hydrochloride. OUTLINE: Serum samples are analyzed for NGAL, MMP 9, NGAL,MMP 9, and soluble E cadherin by ELISA and Luminex assays.",Completed,All,18 Years,120 Years,non small cell lung cancer,1 month,,,,Lung Cancer,"enzyme linked immunosorbent assay, laboratory biomarker analysis"
NCT00652340,APRiCOT L: Study to Evaluate Efficacy and Safety of Apricoxib With Erlotinib in Patients With Non small Cell Lung Cancer,This study will compare the anti tumor efficacy of apricoxib and erlotinib with placebo and erlotinib as measured by time to disease progression to test the hypothesis that down regulation of COX 2 and EGFR pathways in patients with up regulated COX 2 expression in tumor will have a clinical benefit compared with erlotinib alone.,,Completed,All,18 Years,,,Baseline and every other cycle.,Randomized,Parallel Assignment,Treatment,Recurrent Non Small Cell Lung Cancer,"apricoxib,erlotinib, erlotinib,placebo"
NCT01221077,Study of Erlotinib (Tarceva®) in Combination With OSI 906 in Patients With Advanced Non small Cell Lung Cancer (NSCLC) With Activating Mutations of the Epidermal Growth Factor Receptor (EGFR) Gene,"A multicenter, randomized, double blind, placebo controlled, phase 2 study of Erlotinib (Tarceva®) in combination with OSI 906 in Patients with Advanced non small cell lung cancer (NSCLC) with Activating Mutations of the Epidermal Growth Factor Receptor (EGFR) Gene who are Chemonaive.","Based on the recommendation of the Data Monitoring Committee, OSI 906 and matching placebo are no longer being administered as of 01 March 2013. This is a multi center, randomized (1:1), double blind, placebo controlled, phase 2 study. Patients will be stratified according to the following 2 parameters: (1) EGFR activating mutation type (exon 19 deletion versus exon 21 single point mutation); and (2) Eastern Cooperative Oncology Group (ECOG) performance status (0 vs. 1).",Completed,All,18 Years,,"NSCLC, Epidermal Growth Factor Receptor, EGFR, Non small cell lung cancer, Tarceva, Activating mutations, OSI 906, Chemonaive, IGF IR, Erlotinib",15 months,Randomized,Parallel Assignment,Treatment,"NSCLC, Non Small Cell Lung Cancer","OSI 906, Erlotinib, Placebo"
NCT00654420,A Study Evaluating Dalotuzumab (MK 0646) in Combination With Erlotinib for Participants With Non Small Cell Lung Cancer (MK 0646 007),"This is a Phase I,IIa study to evaluate safety and efficacy of dalotuzumab (MK 0646) in combination with erlotinib in participants with recurrent Non Small Cell Lung Cancer (NSCLC). The Phase I part of this study will determine the highest tolerated dose of dalotuzumab to be given in combination with erlotinib. The primary hypothesis for the Phase I part of the study is that administration of erlotinib in combination with dalotuzumab in participants with recurrent NSCLC is generally well tolerated as evidenced by accumulated safety data from this trial. The Phase II part of this study will investigate how well dalotuzumab works in conjunction with erlotinib at treating recurrent NSCLC. The primary hypothesis for the Phase II part of this study is that administration of erlotinib in combination with dalotuzumab in participants with recurrent NSCLC results in improvement in Progression Free Survival (PFS) compared to participants treated with erlotinib alone. PFS is defined as the time from randomization until either the emergence of radiographic evidence of disease progression (as documented by an independent core laboratory) or death due to any cause, whichever occurs first.","Dalotuzumab is a humanized monoclonal antibody (mAb) that targets the Insulin like Growth Factor Receptor (IGF 1R). Dalotuzumab may act through: Inhibition of IGF 1 mediated cell signaling to cause reductions in tumor growth and spread. Antibody dependent cell mediated cytotoxicity In preclinical studies, dalotuzumab improved the activity of an anti Epidermal Growth Factor Receptor (EGFR) mAb and the activity of Erlotinib, a small molecule inhibitor of EGFR Trial Duration of Treatment: Participants will continue on the study for as long as their disease is not progressing and they do not have unmanageable side effects from the treatment.",Completed,All,18 Years,,,"Up to 4 weeks after initiation of treatment, Duration of time required to collect approximately 49 deaths or PFS events (assessed up to ~20 months total on this study from randomization to cut off date)",Randomized,Parallel Assignment,Treatment,"Carcinoma, Non small cell Lung","Dalotuzumab, Erlotinib"
NCT00321815,Trial Of Erlotinib With Or Without PF 3512676 In Advanced Non Small Cell Lung Cancer,To assess the efficacy and safety of PF 3512676 administered in combination with erlotinib in patients with advanced EGFR positive non small cell lung cancer after failure of at least one prior chemotherapy regimen.,,Completed,All,18 Years,,advanced carcinoma non small cell lung EGFR positive Erlotinib Tarceva PF 3512676 Phase II immunotherapy immune modulator,50Events,Randomized,Parallel Assignment,Treatment,"Carcinoma, Non Small Cell Lung","PF 3512676 + Erlotinib, Erlotinib"
NCT00473083,Systemic and Topical Treatments for Rash Secondary to Erlotinib in Lung Cancer,"The purpose of this trial is to determine if rash caused by erlotinib can be successfully treated and if so to determine the optimal treatment approach. Hypothesis: Hypothesis 1: If the incidence of rash is 50% while on erlotinib, prophylactic monotherapy with minocycline can prevent occurrence in 50% of these patients. Hypothesis 2: Treatment of rash is successful in improving rash by at least one Grade in 80% of patients. Hypothesis 3: In patients with untreated rash, the rash will be self limiting in 25% of patients, and 65% will be grade 1, 2A, and 2b. Ten percent will be grade 3 requiring treatment with monotherapy intervention.","Erlotinib has been shown to prolong survival in NSCLC patients who are no longer candidates for further chemotherapy. In July 2005, erlotinib was approved in Canada for the treatment of patients with locally advanced or metastatic NSCLC, following failure of first or second line chemotherapy. Erlotinibs side effect profile includes rash. The incidence of rash in clinical trials has been reported to be approximately 50  75%, and has been hypothesised to parallel tumour response (20). The treatment of rash is controversial and many oncologists believe it is untreatable and self limiting. The cause of the rash is not well understood but is felt to be a systemic event. Clinical experience of the investigators has suggested that minocycline 100 mg orally given twice daily for 4 weeks and clindamycin 2% and hydrocortisone 1% topical cream for moderate to severe rash is a successful treatment. The objectives of this trial are to better delineate the rash and its features and to describe an optimal treatment. Since the rash is often facial in distribution and can therefore lead to physical and psychological distress to the patient, a dermatology life quality index will also be completed throughout the study.",Completed,All,18 Years,,"Rash, Erlotinib, Lung Cancer","From onset of rash until resolution, up to 4 weeks following progression, an average of 1 year, From onset of rash until resolution, up to 4 weeks following progression, an average of 1 year, From onset of rash until resolution, up to 4 weeks following progression, on average of 1 year",Randomized,Parallel Assignment,Treatment,Rash,"Minocycline, Clindamycin 2% in hydrocortisone 1% lotion, Erlotinib, Topical clindamycin 2%, triamcinolone acetonide 0.1% soln"
NCT01183858,A Study of Tarceva (Erlotinib) to Compare Two Different Doses in in Currently Smoking Patients With Advanced or Metastatic Non Small Cell Lung Cancer (CURRENTS),"This prospective, double blind, randomized study will evaluate the safety and efficacy of two dose levels of erlotinib Tarceva on progression free survival, response and disease control rates and overall survival in patients with advanced or metastatic non small cell lung cancer (NSCLC) after failure of first line platinum based chemotherapy. Patients must be current smokers and not intending to stop smoking during the study. Patients will be randomized to receive either 150 mg or 300 mg of study drug as single daily oral doses. Treatment will continue until disease progression.",,Completed,All,18 Years,,,"Randomization to Clinical Cutoff: 28 October 2013 (Up to 36.5 Months), Randomization to End of Study: 14 October 2010  7 February 2014 (Up to 39.8 months)",Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,Erlotinib Tarceva
NCT01251796,A Study of ARQ 197 in Combination With Erlotinib,"This is a phase I study to determine the safety, tolerability and recommended phase II dose of ARQ 197 given in combination with erlotinib as primary endpoints in CYP2C19 poor metabolizer patients with advanced,recurrent non small cell lung cancer. The pharmacokinetic profile and antitumor activity of ARQ 197 administered alone or in combination with erlotinib will also be determined as secondary endpoints.",,Completed,All,20 Years,,,DLT observation period started from the day of first single agent treatment to the day after the continuous combination treatment for 29 days.,,Single Group Assignment,Treatment,"Advanced,Recurrent Non small cell Lung Cancer",ARQ 197 and Erlotinib
NCT00531934,A Study of Management of Tarceva  Induced Rash in Patients With Non Small Cell Lung Cancer.,"This 2 arm study will evaluate the management of Tarceva induced skin rash in patients with non small cell lung cancer who have failed first line chemotherapy for advanced disease. Eligible patients will be randomized to receive a)doxycycline 100mg po daily or b)no preventative treatment; all patients will receive Tarceva 150mg,kg po daily. The anticipated time on study treatment is until disease progression or intolerable toxicity, and the target sample size is 100 500 individuals.",,Completed,All,18 Years,75 Years,,"Days 0, 14, 28 and Months 2, 3, and 4",Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,"Doxycline, erlotinib Tarceva"
NCT00570401,Dasatinib in Treating Patients With Advanced Lung Cancer That Is No Longer Responding to Erlotinib or Gefitinib,RATIONALE: Dasatinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. PURPOSE: This phase II trial is studying how well dasatinib works in treating patients with advanced lung cancer that is no longer responding to erlotinib or gefitinib.,"OBJECTIVES: Primary To determine the overall response rate (complete response and partial response) in patients with acquired erlotinib hydrochloride or gefitinib resistant advanced adenocarcinoma of the lung treated with dasatinib. Secondary To determine the progression free survival and overall survival of patients treated with this drug.. To determine the overall response rate in patients with EGFR T790M lung adenocarcinomas treated with this drug.. To determine the progression free survival and overall survival of patients with EGFR T790M lung adenocarcinomas treated with this drug.. To determine the toxicity profile of dasatinib in these patients. OUTLINE: Beginning 1 week after completion of erlotinib hydrochloride or gefitinib therapy, patients receive oral dasatinib twice daily. Treatment continues in the absence of disease progression or unacceptable toxicity. Response is assessed by CT scan at 4 weeks, 8 weeks, and then every 8 weeks thereafter.",Completed,All,18 Years,120 Years,"adenocarcinoma of the lung, stage IIIA non small cell lung cancer, stage IIIB non small cell lung cancer, stage IV non small cell lung cancer, recurrent non small cell lung cancer",2 years,,Single Group Assignment,Treatment,Lung Cancer,dasatinib
